Ancien nomprojet,Nouveau nom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3BIM,Ada LOVELACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4BIM,Rose DIENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5BIM,Grace HOPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioif1,Rozsa PETER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouv salle RDC (5BB),Katherine JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24
Salle Ada LOVELACE / 406-RDJ-10 (ex-salle 3BIM) / S1,,,,,,,,,,,,,,,,,,,,,,Salle Ada LOVELACE / 406-RDJ-10 (ex-salle 3BIM) / S2,,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13/sep/22 - 17/sep/22,20/sep/21-24/sep/21,27/sep/21-01/oct/21,04/oct/21-08/oct/21,11/oct/21-15/oct/21,18/oct/21-22/oct/21,25/oct/21-29/oct/21,01/nov/21-05/nov/21,08/nov/21-12/nov/21,15/nov/21-19/nov/21,22/nov/21-26/nov/21,29/nov/21-03/dec/21,06/dec/21-10/dec/21,13/dec/21-17/dec/21,20/dec/21-24/dec/21,27/dec/21-31/jan/22,03/jan/22-07/jan/22,10/jan/22-14/jan/22,17/jan/22-21/jan/22,24/jan/22-28/jan/22,,,31/01/22-04/02/22,07/02/22-11/02/22,14/02/22-18/02/22,21/02/22-25/02/22,28/02/22-04/03/22,07/03/22-11/03/22,14/03/22-18/03/22,21/03/22-25/03/22,28/03/22-01/04/22,04/04/22-08/04/22,11/04/22-15/04/22,18/04/22-22/04/22,25/04/22-29/04/22,02/05/22-06/05/22,09/05/22-13/05/22,16/05/22-20/05/22,23/05/22-27/05/22,30/05/22-03/06/22,06/06/22-10/06/22,13/06/22-17/06/22
lundi,8h00 à 9h50,,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,,,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,,,TP Chimie Physiq grp C salle  info L. Soulère,TP Chimie Physiq grp C salle  info L. Soulère,TP Chimie Physiq grp B salle info Laurent Soulère,TP Chimie Physiq grp B salle info Laurent Soulère,lundi,8h00 à 9h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lundi,14h00 à 15h50,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,,,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,TP Info 3BS ,,,TP Chimie Physiq grp D salle  info L. Soulère,TP Chimie Physiq grp D salle  info L. Soulère,,,lundi,14h00 à 15h50,,,Info 3 Algo prog TD gr B 2h,,3BiM Info 3: Algo prog TD gr A ,3BiM Info 3 : Algo prog TD gr A 4 h,Info 3: Algo prog TD gr A ,Info 3 : Algo prog TD gr A 4 h ,Info 3: Algo prog TD gr A,Biomaths 3: TP EDO grp A ,Biomaths 3: TP EDO grp A ,,,Biomaths 3: TP EDO grp A ,Biomaths 3: TP EDO grp A ,Biomaths 3: TP EDO grp A ,Biomaths 3: TP EDO grp A ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,Info 3: Algo prog TD gr A 2h,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,8h00 à 9h50,,,IA TP 4BIM gr A,,IA TP 4BIM gr A,,,IA TP 4BIM gr A,IA TP 4BIM gr A,,IA TP 4BIM gr A,,,,,,,,IA TP 4BIM gr A,,mardi,8h00 à 9h50,3BiM Info 2: TD Linux grp A,3BiM Info 2: TD Linux grp B,,,Info 3: Algo prog TD gr B ,Info 3 : Algo prog TD gr B 4 h,Info 3: Algo prog TD gr B ,,,Info 4: TD grp A 2h,Info 4: BD TP gr A,,,Info 4: BD TP gr B,Info 4: BD TP gr A,Info 4: BD TP gr B,Info 4: BD TP gr A,Info 4: BD TP gr B,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,C++ TP 4BIM gr A,,C++ TP 4BIM gr A,,,C++ TP 4BIM gr A,C++ TP 4BIM gr A,,C++ TP 4BIM gr A,,TP Info grp B 10h-12h,,,,,,C++ TP 4BIM gr A,,,10h05 à 11h55,,,,,,,,,,Info 4: TD grp B 2h,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,14h00 à 15h50,TP Info 3BS,,,,,TP Gen Dyn Pop grp. c,,TP Gen Dyn Pop grp. c,TP Gen Dyn Pop grp. c,TP Gen Dyn Pop grp. c,,,,,,,,,,,mardi,14h00 à 15h50,,,,,,,,3BiM Info 3 : Algo prog TD gr B 4 h ,Info 3: Algo prog TD gr B ,3 BiMTP NGS BiM grp A,3BiM TP NGS BiM grp B,,,TP NGS BiM grp A ,TP NGS BiM grp B,TP NGS BiM grp A ,TP NGS BiM grp B,TP NGS BiM grp A ,TP NGS BiM grp B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,Biomaths 3: TD EDO gr A et B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercredi,8h00 à 9h50,,,,PPP 4BIM gr A,PPP 4BIM gr B,TP Gen Dyn Pop grp. d,,TP Gen Dyn Pop grp. d,TP Gen Dyn Pop grp. d,TP Gen Dyn Pop grp. d,,,,,,,Biomathématiques D,,TP Chimie Physiq grp A salle info Laurent Soulère,TP Chimie Physiq grp A salle info Laurent Soulère,mercredi,8h00 à 9h50,,,,,,,,,,,3BiM Biostat 3 TD grp A ,,,Biostat 3 TD grp A,Biostat 3 TD grp A ,Biostat 3 TD grp A ,Biostat 3 TD grp A ,3BiM Biostat 3 TD grp A ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,Biostat 3 TD  grp A+B EXAM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercredi,14h00 à 15h50,Souten. Stage 4A 5BIM,,,PPP 4BIM gr A,PPP 4BIM gr B,,,,,Biomathématiques B,,Biomathématiques B,,Biomathématiques B,,,,TP Chimie Physiq grp B salle info Laurent Soulère,TP Chimie Physiq grp B salle info Laurent Soulère,,mercredi,14h00 à 15h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,Souten. Stage 4A 5BIM,,,,,,,,Biomathématiques C,,Biomathématiques C,,Biomathématiques C,,,,Biomathématiques C,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi,8h00 à 9h50,,,,,,,,,,RBS,,,,,,,,,,,jeudi,8h00 à 9h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,Virol 5BS exam,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vendredi,8h00 à 9h50,,,,,,,,,Biomathématiques A,,Biomathématiques A,,Biomathématiques A,,,,Biomathématiques A,,,,vendredi,8h00 à 9h50,,,,,,,,,,Info 3: Algo prog grp A+B TD examen,Biomaths 2: Algèbre AB TP exam ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vendredi,14h00 à 15h50,,,Biostats 5 TP 4BIM gr A,Biostats 5 TP 4BIM gr A,,Biostats 5 TP 4BIM gr A,,Biostats 5 TP 4BIM gr A,,Biostats 5 TP 4BIM gr A,Biostats 5 TP 4BIM gr A,,,,,,Biostats 5 TP 4BIM gr A,Biostats 5 TP 4BIM gr A,Biostats 4 4BIM A exam,,vendredi,14h00 à 15h50,,,Biomaths 2: Algèbre TD gr B,,Biomaths 2: Algèbre TD gr A,Biomaths 2: Algèbre TD gr B,Biomaths 2: Algèbre TD gr A,Biomaths 2: Algèbre TD gr B,Biomaths 2: Algèbre TD gr A,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,Biostats 4 TP 4BIM gr A,Biostats 4 TP 4BIM gr A,,Biostats 4 TP 4BIM gr A,,Biostats 4 TP 4BIM gr A,,Biostats 4 TP 4BIM gr A,Biostats 4 TP 4BIM gr A,,,,,,Biostats 4 TP 4BIM gr A,Biostats 4 TP 4BIM gr A,Biostats 5 4BIM A exam,,,16h05 à 17h55,,,Biomaths 2: Algèbre TD gr A,,Biomaths 2: Algèbre TD gr B,Biomaths 2: Algèbre TD gr A,Biomaths 2: Algèbre TD gr B,Biomaths 2: Algèbre TD gr A,Biomaths 2: Algèbre TD gr B,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24
Salle Rose DIENG / 406-RDJ-12 (ex-salle 4BIM) / S1,,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,Salle Rose DIENG / 406-RDJ-12 (ex-salle 4BIM) / S2,,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13/sep/21 - 17/sep/21,20/sep/21-24/sep/21,27/sep/21-01/oct/21,04/oct/21-08/oct/21,11/oct/21-15/oct/21,18/oct/21-22/oct/21,25/oct/21-29/oct/21,01/nov/21-05/nov/21,08/nov/21-12/nov/21,15/nov/21-19/nov/21,22/nov/21-26/nov/21,29/nov/21-03/dec/21,06/dec/21-10/dec/21,13/dec/21-17/dec/21,20/dec/21-24/dec/21,27/dec/21-31/jan/22,03/jan/22-07/jan/22,10/jan/22-14/jan/22,17/jan/22-21/jan/22,24/jan/22-28/jan/22,,,31/01/22-04/02/22,07/02/22-11/02/22,14/02/22-18/02/22,21/02/22-25/02/22,28/02/22-04/03/22,07/03/22-11/03/22,14/03/22-18/03/22,21/03/22-25/03/22,28/03/22-01/04/22,04/04/22-08/04/22,11/04/22-15/04/22,18/04/22-22/04/22,25/04/22-29/04/22,02/05/22-06/05/22,09/05/22-13/05/22,16/05/22-20/05/22,23/05/22-27/05/22,30/05/22-03/06/22,06/06/22-10/06/22,13/06/22-17/06/22
lundi,8h00 à 9h50,,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,,,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,,,,,TP Com scientifique D,TP Com scientifique D,lundi,8h00 à 9h50,,,,,4BB Info TP ,4BB Info TP ,4BB Info TP ,4BB Info TP ,4BB Info TP ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Biomathématiques D,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,TP Com scientifique D,TP Com scientifique D,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lundi,14h00 à 15h50,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,,,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,TP Stats 3BS ,,,Biomathématiques C,Biomathématiques C,TP Com scientifique C,TP Com scientifique C,lundi,14h00 à 15h50,,,,, Info 2 Linux grp B,Biostat 2 TD gr B 2h,Info 2: TD  Linux grp B,Biostat 2 TD gr B 2h,Info 2: TD  Linux grp B,,Biostat 3 TD grp B,,,Biostat 3 TD grp B, Biostat 3 TD grp B, Biostat 3 TD grp B,Biostat 3 TD grp B, Biostat 3 TD grp B,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,TP Com scientifique C,TP Com scientifique C,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,8h00 à 9h50,,,C++ TP 4BIM gr B,,C++ TP 4BIM gr B,,,C++ TP 4BIM gr B,C++ TP 4BIM gr B,,C++ TP 4BIM gr B,,,,,,,,C++ TP 4BIM gr B,,mardi,8h00 à 9h50,,,,,Info 2: TD Linux grp A,Biostat 2 TD gr A 2h, Info 2: TD Linux grp A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,IA TP 4BIM gr B,,IA TP 4BIM gr B,,,IA TP 4BIM gr B,IA TP 4BIM gr B,,IA TP 4BIM gr B,,,,,,,,IA TP 4BIM gr B,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,14h00 à 15h50,TP Stats 3BS ,,,,,,,,,,,,,,,,,,,,mardi,14h00 à 15h50,,,,,,,, Biostat 2 TD gr A 2h,Info 2: TD Linux grp A,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercredi,8h00 à 9h50,,,,,,,,,,,,,,,,,,,TP Com scientifique B,TP Com scientifique B,mercredi,8h00 à 9h50,,,,,4BB Info TP ,4BB Info TP ,4BB Info TP ,4BB Info TP ,4BB Info TP ,4BB Info TP ,,,, Biomaths 3 : TP EDO grp B,Biomaths 3 : TP EDO grp B,Biomaths 3 : TP EDO grp B,Biomaths 3 : TP EDO grp B,,,Biostat 3 TD  grp A+B EXAM
,,,,,,,,,,,,,,,,,,Biomathématiques B,Biomathématiques B,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,TP Com scientifique B,TP Com scientifique B,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercredi,14h00 à 15h50,Ecosyst,Ecosyst,Ecosyst,Ecosyst,Ecosyst,Ecosyst,,Alim opt 5BS,Alim opt 5BS,Alim opt 5BS,Alim opt 5BS,Alim opt 5BS,Alim opt 5BS,Alim opt 5BS,,,Biomathématiques A,Biomathématiques A,TP Com scientifique A,TP Com scientifique A,mercredi,14h00 à 15h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,TP Com scientifique A,TP Com scientifique A,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi,8h00 à 9h50,,,,,,,,,,RBS,,,,,,,,,,,jeudi,8h00 à 9h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vendredi,8h00 à 9h50,,Protéomique TP 5BIM gr B,Protéomique TP 5BIM gr B,Protéomique TP 5BIM gr B,,,,Climat 5BS,Climat 5BS,Climat 5BS,Climat 5BS,Climat 5BS,Climat 5BS,Proc pharm 5BS exam,,,Projet 5BIM,Projet 5BIM,,,vendredi,8h00 à 9h50,,,,,,,,,,Info 3: Algo prog grp A+B TD examen,Biomaths 2: Algèbre AB TP exam ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,Climat 5BS exam,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vendredi,14h00 à 15h50,,Protéomique TP 5BIM gr A,Protéomique TP 5BIM gr A,,Protéomique TP 5BIM gr A,,,,,,,,,,,,Projet 5BIM,Projet 5BIM,Projet 5BIM,,vendredi,14h00 à 15h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24
Salle Grace HOPPER / 406-RDJ-16 (ex-salle 5BIM) / S1,,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,Salle Grace HOPPER / 406-RDJ-16 (ex-salle 5BIM) / S2,,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13/sep/21 - 17/sep/21,20/sep/21-24/sep/21,27/sep/21-01/oct/21,04/oct/21-08/oct/21,11/oct/21-15/oct/21,18/oct/21-22/oct/21,25/oct/21-29/oct/21,01/nov/21-05/nov/21,08/nov/21-12/nov/21,15/nov/21-19/nov/21,22/nov/21-26/nov/21,29/nov/21-03/dec/21,06/dec/21-10/dec/21,13/dec/21-17/dec/21,20/dec/21-24/dec/21,27/dec/21-31/jan/22,03/jan/22-07/jan/22,10/jan/22-14/jan/22,17/jan/22-21/jan/22,24/jan/22-28/jan/22,,,31/01/22-04/02/22,07/02/22-11/02/22,14/02/22-18/02/22,21/02/22-25/02/22,28/02/22-04/03/22,07/03/22-11/03/22,14/03/22-18/03/22,21/03/22-25/03/22,28/03/22-01/04/22,04/04/22-08/04/22,11/04/22-15/04/22,18/04/22-22/04/22,25/04/22-29/04/22,02/05/22-06/05/22,09/05/22-13/05/22,16/05/22-20/05/22,23/05/22-27/05/22,30/05/22-03/06/22,06/06/22-10/06/22,13/06/22-17/06/22
